date,high,low,close,change,最近N1个交易日的最高点,最近N2个交易日的最低点,当天的仓位,资金指数
2015-12-09,3495.702,3454.8790000000004,3472.4390000000003,2.369000000000142,3495.702,3454.8790000000004,,
2015-12-08,3518.6479999999997,3466.79,3470.07,-66.85699999999997,3518.6479999999997,3454.8790000000004,,
2015-12-07,3543.945,3506.625,3536.927,11.934999999999945,3543.945,3454.8790000000004,,
2015-12-04,3568.97,3510.4120000000003,3524.992,-59.83199999999988,3568.97,3454.8790000000004,1.0,-60638.329251407245
2015-12-03,3591.73,3517.23,3584.824,47.91899999999987,3591.73,3454.8790000000004,1.0,-2966366.4286495834
2015-12-02,3538.847,3427.6609999999996,3536.905,80.596,3591.73,3427.6609999999996,1.0,-242043635.11209142
2015-12-01,3483.414,3417.545,3456.309,10.903999999999996,3591.73,3417.545,1.0,-2881287432.3743353
2015-11-30,3470.3709999999996,3327.812,3445.405,9.102000000000317,3591.73,3327.812,1.0,-29106765641.846447
2015-11-27,3621.897,3412.427,3436.303,-199.24900000000025,3621.897,3327.812,1.0,5770387181730.424
2015-11-26,3668.3759999999997,3629.865,3635.552,-12.377999999999702,3668.3759999999997,3327.812,1.0,-65655465353727.05
2015-11-25,3648.367,3607.518,3647.93,31.817000000000007,3668.3759999999997,3327.812,1.0,-2154615406513261.0
2015-11-24,3616.4840000000004,3563.1040000000003,3616.113,5.7979999999997744,3668.3759999999997,3327.812,1.0,-1.4647075533476662e+16
2015-11-23,3654.7540000000004,3598.8709999999996,3610.315,-20.184999999999945,3668.3759999999997,3327.812,1.0,2.8100414410974896e+17
2015-11-20,3640.5290000000005,3607.915,3630.5,13.438000000000102,3668.3759999999997,3327.812,1.0,4.057137832656584e+18
2015-11-19,3618.2129999999997,3561.0440000000003,3617.062,48.59400000000005,3668.3759999999997,3327.812,1.0,2.0120969367277083e+20
2015-11-18,3617.0690000000004,3558.697,3568.468,-36.327000000000226,3668.3759999999997,3327.812,1.0,-7.10813484837802e+21
2015-11-17,3678.2729999999997,3598.0679999999998,3604.795,-2.162000000000262,3678.2729999999997,3327.812,1.0,8.259652693817122e+21
2015-11-16,3607.612,3519.421,3606.9570000000003,26.117999999999938,3678.2729999999997,3327.812,1.0,2.239852617509322e+23
2015-11-13,3632.5559999999996,3564.809,3580.8390000000004,-52.06299999999965,3678.2729999999997,3327.812,1.0,-1.1437359420787772e+25
2015-11-12,3659.315,3603.228,3632.902,-17.347000000000207,3678.2729999999997,3327.812,1.0,1.8696651445162006e+26
2015-11-11,3654.877,3605.6209999999996,3650.2490000000003,9.764000000000124,3678.2729999999997,3327.812,1.0,2.0125075615572617e+27
2015-11-10,3669.533,3607.8909999999996,3640.485,-6.395999999999731,3678.2729999999997,3327.812,1.0,-1.085949080216244e+28
2015-11-09,3673.76,3588.498,3646.881,56.848999999999705,3678.2729999999997,3327.812,1.0,-6.282106834142918e+29
2015-11-06,3596.382,3508.827,3590.032,67.21299999999974,3678.2729999999997,3327.812,1.0,-4.285213534773892e+31
2015-11-05,3585.657,3455.525,3522.8190000000004,63.17900000000054,3678.2729999999997,3327.812,1.0,-2.7502071944825593e+33
2015-11-04,3459.6459999999997,3325.619,3459.64,142.9449999999997,3678.2729999999997,3325.619,1.0,-3.958785746097912e+35
2015-11-03,3346.275,3302.184,3316.695,-8.389999999999873,3678.2729999999997,3302.184,1.0,2.925542666366306e+36
2015-11-02,3391.0640000000003,3322.312,3325.085,-57.47599999999966,3678.2729999999997,3302.184,0.0,2.925542666366306e+36
2015-10-30,3417.2009999999996,3346.591,3382.5609999999997,-4.75400000000036,3678.2729999999997,3302.184,0.0,2.925542666366306e+36
